City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
70,Nirsa,IN,72.99,overcast clouds,23.7833,86.7167,Sri Dadi Bhavan
74,Butaritari,KI,82.85,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
77,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
78,Kimbe,PG,84.69,moderate rain,-5.5502,150.1429,Kimbe Bay Hotel
79,Rikitea,PF,76.6,broken clouds,-23.1203,-134.9692,People ThankYou
82,Galesong,ID,86.02,overcast clouds,-5.3166,119.3661,Sapriadi Appy
83,Hilo,US,78.53,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
85,Luis Correia,BR,80.38,overcast clouds,-2.8792,-41.6669,Hotel Amarração
94,Busselton,AU,82.09,clear sky,-33.65,115.3333,Observatory Guest House
96,Meulaboh,ID,83.8,broken clouds,4.1363,96.1285,Kost Pria
100,Ambilobe,MG,80.6,broken clouds,-13.2,49.05,Hôtel & Restaurant DIANA Ambilobe
105,Ugoofaaru,MV,82.09,light rain,5.6667,73.0,Ungoofaaru Inn
110,Cabo San Lucas,MX,78.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
111,Faanui,PF,81.54,scattered clouds,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
113,Lorengau,PG,83.59,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
115,Gweta,BW,80.87,scattered clouds,-20.1833,25.2333,Gweta Lodge
116,Bambous Virieux,MU,82.22,clear sky,-20.3428,57.7575,Casa Tia Villa
121,Broken Hill,AU,77.29,overcast clouds,-31.95,141.4333,Royal Exchange Hotel
122,Bengkulu,ID,84.02,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
128,Takoradi,GH,79.2,light rain,4.8845,-1.7554,Raybow International Hotel
132,Auki,SB,82.2,overcast clouds,-8.7676,160.7034,Auki Motel
135,Chauk,MM,79.83,overcast clouds,20.8833,94.8167,Bo Khin Guest House
146,Balabac,PH,81.64,overcast clouds,7.9868,117.0645,Sing and Swing Lodge
150,Sao Filipe,CV,74.59,overcast clouds,14.8961,-24.4956,Hotel Xaguate
153,San Patricio,US,73.89,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
154,Cockburn Town,TC,79.18,scattered clouds,21.4612,-71.1419,Osprey Beach Hotel
156,Cabedelo,BR,79.47,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
165,Caiaponia,BR,71.91,overcast clouds,-16.9567,-51.8103,HOTEL PALACE AVENIDA & CAIAPÓ TURISMO
169,Pouembout,NC,81.88,broken clouds,-21.1333,164.9,Camping de Tipenga
171,Carutapera,BR,76.28,overcast clouds,-1.195,-46.02,Lidera
